TIME CODE,SOURCE LANGUAGE,TRANSLATION,Comment Local team
02:22-02:58,"Tabi ki. (É) Di_ hassasiyeti hassasiyet geli_memi_ ki_ilerde de zaman iŤersinde ortaya Ťőkabilir. Dolayősőyla bakőm onarőm sa_layan di_ macunu kullanőr isek bu takdirde biz olaső di_ hassasiyetlerinin de šnźne geŤmi_ oluyoruz. (É) Sensodyne bakőm ve koruma di_ macunu..onarőm ve.. Sensodyne onarőm ve koruma di_ macunu iŤersindeki mineraller di_ yźzeyinde koruyucu bir tabaka olu_turuyorlar. Ve bu tabaka asitlere kar_ő di_i daha direnŤli kőlőyor. Bšylelikle di_ yźzeyinde delikler, gšzenekler olu_madő_ő iŤin d..di_ hassasiyeti meydana gelmiyor.","Of course.  (É)  Tooth sensitivity can occur over time in people who have not have it yet.  Therefore, if we use a toothpaste that has nursing and repairing features, then we prevent the possibility of tooth sensitivity as well.  (É) Sensodyne bakőm ve koruma toothpaste..onarőm ve..  The minerals existing in the Sensodyne onarőm ve koruma toothpaste create a protective layer on the tooth surface.  And, this layer makes the tooth more resistant to acids.  Thus, to..tooth sensitivity does not occur because no holes, pores are formed on the tooth surface.",
02:59-03:12,"Sźper. Peki o zaman hazőr buraya kadar gelmi_ken (É) Sensodyne onarőm ve korumanőn geli_tirilmi_ formźlź.._imdi aslőnda bu anlattő_őnőz bugźne kadarki Sensodyne onarőm korumaydő. Peki ne de_i_ti, geli_tirilmi_ formźl ne _ekilde geli_ti?","Super.  Well then, we have come to this point already, (É) The improved Sensodyne onarőm ve koruma formula.. now, what you have talked about so far was the Sensodyne onarőm koruma up until today.  Well, what has changed, how the improved formula has been developed?",
03:13-03:40,(É) Di_ hassasiyetiyle mźcadele bir sźreklilik (É) gerektirdi_i iŤin (É) Sensodyne onarőm ve koruma di_ macunu iŤersinde bu korumayő sa_layan maddelerin daha kalőcő olmasőnő gerŤekle_tirmek iŤin sodyum florźr ilavesi yapőldő. Sodyum florźr ile novamin minerali di_ źzerinde daha sert ve daha kalőcő bir tabaka olu_turarak (É) di_ hassasiyetini korumada daha kalőcő bir (É) tedavi imkanő sunuyor.,"(É) Since the battle with the tooth sensitivity requires (É) continuity, (É) sodium fluoride has been added into the Sensodyne onarőm ve koruma toothpaste in order to make the substances providing protection more permanent.  Sodium fluoride and novamin mineral provide a more permanent (É) curing opportunity in protecting the tooth sensitivity by creating (É) a more strong and more permanent layer on the tooth.",
03:41-03:51,Peki bir hekim olarak bu size heyecanlandőrőyor mu? Yani bu..bu sizing iŤin ne demek? Bu di_ doktorlarő iŤin ne demek? ‚źnkź anladő_őm kadarőyla hassasiyet Ťok sők rastlanőlan bir (É) rahatsőzlők ya da sőkőntő.,"Well, does this excite you as a dentist?  I mean, this..this, what does that mean for you?  Because, as far as I understand, sensitivity is a very commonly encountered discomfort or a problem.",
03:51-04:34,"Tabi, (É) di_ hassasiyeti toplumda Ťok yaygőn. ‚źnkź šzellikle endźstiriyel gődalar iŤersindeki katkő koruma maddeleri (É) di_ler źzerinde asit etki yarattőklarőndan bu durum meydana Ťőkőyor. Ve (É) di_ hekimleri aŤősőndanda bš.._šyle bir problem meydana geliyor. Biz di_..iŤ..a_őz iŤersinde ba_ka tedaviler uyguluyoruz. Ve uyguladő_őmőz bu tedaviler ile (É) asitli gődalarőn meydana getirdi_i hassasiyet aynő zamanda šrtź_tź_ź zaman bizim tedavilerimizde birtakőm yanlő_lőklar varmő_ hissi ortaya Ťőkabiliyor. Dolayősőyla biz (É) di_ hassasiyetiyle (É) ba_a Ťőkabilen di_ macunlarő kullanőlmasőnő šneriyoruz ki bizim yaptő_őmőz i_lere onlarőn yan etkileri sebebiyle (É) problemli hale getirmeyelim.","Of course, (É) tooth sensitivity is very common in the society.  Because, especially the preservative substances in the industrial food (É) create an acidic effect on the teeth and this situation occurs.  And (É) from the perspective of the dentists, this kind of a problem occurs as well.  We apply other treatments in the too.. in the mouth.  And, when our treatments (É) coincide with the sensitivity created by the acidic food, some situations arise in which our treatments are perceived as there is something wrong with the treatment.  Therefore, (É) we recommend toothpastes that work on the tooth sensitivity (É) so that what we do and their side effects would not create (É) any problems.",
04:35-04:40,"Hmm. Peki, (É) SensodyneŐle ne kadar zamandőr tanő_őyorsunuz, Ťalő_őyorsunuz diyim?","Hőmm. Alright, (É) How long have you known Sensodyne, let me say worked with it?",
04:41-05:57,"(É) Sensodyne (É) piyasada bulunan (É) di..di_er di_ macunu źreti..cileri nden bir farklőlők (É) gšsterir. Zira (É) piyasada bulunan tek ilaŤ kškenli firma tarafőndan źretilir. Dolayősőyla ara_tőrma geli_tirme gelene_i ve olanaklarő di_er źreticilerden Ťok farklő bir dźzeydedir. (É) Zaten (É) dźnya źzerinde yapőlan akademik klinik Ťalő_malarő gerŤekle_tiren bu ilaŤ firmasőnőn źrźnź olan SensodyneŐdir. (É) Di_er firmalar daha ziyade deterjan źretimi gibi, temizlik maddesi źretimi gibi ana gšrevlerinin yanőnda di_ macunu da źreten firmalardőr. Bu gerŤekten źslup bakőmőndan ve gelenek bakőmőndan Ťok farklő bir (É) konuma getiriyor. Formźlasyon aŤősőndan baktő_őmőz zaman da bunun getirisi olarak (É) gerŤekten bir ara_tőrma geli_tirme (É) konsepti iŤersinde ortaya Ťőkan źrźnlerden bahsediyoruz. Ve bu źrźnler (É) di_ hekimi olarak bizim (É) Ťalő_mamőző Ťok kolayla_tőrőyor. ‚źnkź hedefe yšnelik ilaŤ tarzőnda źrźnler bunlar. Yani sadece kozmetik veya (É) palyatif amaŤlő źrźnler de_il, gerŤekten hedefe yšnelik (É) źrźnler ve bu nedenle di_ hekimlerinin i_ini Ťok kolayla_tőrőyor Sensodyne źrźn gamő.","(É) Sensodyne (É) is different from the (É) ot..other toothpaste prod..producers in the market.  Because (É) it is produced by the only pharmaceutical firm in the market.  Therefore, their research and development tradition and resources are in a different state than that of the others.  (É) As matter of fact, (É) Sensodyne is the product of this firm that performs academic clinic studies worldwide.  (É) Other firms are the firms mainly producing products such as detergents, cleaning materials; they produce toothpaste as an ancillary product.  This actually brings them to a different (É) position in terms of style and tradition.  When we look at it in terms of formulation, as a gain derived from this, (É) we are talking about products that are really produced within (É) a research and development concept.  And, these products (É) make our job (É) much easier as a dentist.  Because these are products similar to drugs geared towards a target.  Meaning, these are not products that are only for cosmetic or palliative care purposes, these products really aim towards their target and as a result, they, Sensodyne range make the dentistsŐ job much easier.",
05:58-06:17,"Sźper. (É) _ey (É) Hassasiyetin onarőlabilme _eyine geri dšnmek istiyorum. O onarma bizim iŤin Ťok šnemli Ťźnkź aslőnda ortada bir hasar var, sanki duvarda aŤőlmő_ delik gibi tabir ediyim hani halk diliyle. Ve o bir _ekilde onarőlabiliyor ve bildi_im kadarőyla bu bilinen bir gerŤek de_il. Bunca zamandőr anlatőyoruz biz Sensodyne..(É)","Super.  (É) Well (É) I want to go back to the sensitivity being a reparable issue.  That repair is very important for us, because, actually, these is a damage here, just like a hole in a wall, let me put it this way in a colloquial language.  And, it is somehow reparable and as far as I know, this is not a common knowledge.  We have been telling about Sensodyne for so long now.. (É)",
06:17-06:50,"Tabi (É) di_ hassasiyeti toplum tarafőndan genellikle di_lerde bir Ťźrźme, bir problem, di_in Ťekilmesini gerektirebilecek bir durum gibi yorumlanőyor. Veyahutta bu hassasiyet ortaya Ťőktőktan sonra (É) di_ hekimi konuya bir (É) Ťšzźm getiremese de bununla beraber ya_amaső gerekti_i gibi bir kanőya (É) yargőya varabiliyor ki_iler. Halbuki di_ hassasiyeti kesinlikle ev bakőmőnda do_ru źrźn kullanőldő_őnda Ťok kolaylőkla ba_ ed..ba_ edilebilecek, ortadan kaldőrőlabilecek, onarőlabilecek bir durumdur.","Of course (É) the tooth sensitivity is perceived by the society in a way as if it will create a cavity, a problem, receding gum.  Or else, after the sensitivity has occurred, (É) they surmise (É) pass a judgement on as if they have to live with it forever, even the dentist cannot find (É) a solution to the issue.  In fact, tooth sensitivity is situation that can definitely be dealt with, eliminated easily if the right product is used in the oral care at home.",
06:51-06:55,Sźper. Bu son cźmleyi birazcők daha kősa alőrsak nefis bir _ey sšylediniz ev bakőmőyla diyerekten.,"Super.  If we can get this last sentence in a little bit shorter form,  you said something magnificent when you said oral care at home.",
06:55-07:06,"Tabi (É) Di_ hassasiyeti (É) halkőmőzőn bilmesi gereken bir konu var. Di_ hassasiyeti kesinlikle, do_ru źrźn kullanőldő_őnda onarőlabilinecek ve giderilebilecek bir problemdir.",Of course (É) Tooth sensitivity (É) there is something our society should know about.  Tooth sensitivity is a problem that can definitely be repaired and eliminated if the right product is used.,
07:07-07:12,Sźper. (É) Peki neden Sensodyne onarőm ve korumayő šneriyorsunuz?,Super.  (É) Why do you recommend Sensodyne onarőm ve koruma?,
07:13-07:46,Sensodyne onarőm ve korumayő (É) iŤerdi_i formź..formźlźnde iŤerdi_i maddelerin gerŤekten di_ hassasiyetini giderilebilecek dźzeyde etkin olmalarő sebebiyle tercih ediyorum. (É) Sensodyne onarőm ve korumayő (É) ara_tőrma geli_tirmesi (É) tő..tőbbi olanaklar ŤerŤevesinde ara_tőrma ve geli_tirmesi olan bir firma tarafőndan źretilmi_ bir źrźn oldu_u iŤin tercih ediyorum. Ve gźvenerek (É) bu źrźnźn źreticisine Sensodyne orama ve..onarőm ve korumayő (É) hastalarőma tavsiye ediyorum.,"I prefer Sensodyne onarőm ve koruma (É) due to the fact that the substances existing in its for..formula are actually effective enough to be able to eliminate the tooth sensitivity.  (É) I prefer Sensodyne onarőm ve koruma within the concept (É) of its research and development and the me..medical resources, because it is a product with research and development and the me..medical resources behind it.  And, I recommend it, Sensodyne onarőm ve koruma, to my patients because I trust the producer of the product.",
07:47-08:08,Peki geli_tirilmi_ formźlden birazcők bahsedelim. Yine basitŤe (É) hassasiyeti tanőm..larken i_te dentin tabakasőndaki aŤő_a Ťőkmő_ gšzenekler var dediniz. Bunlarőn tőkanmaső lazőm dediniz. Geli_tirilmi_ formźl basitŤe ne yapőyor?,"Ok, letŐs talk a little bit about the improved formula.  Again, in simple terms (É) when you des..described the sensitivity you said there are exposed pores in the dentine layer.  You said these have to be plugged.  What does the improved formula simply do?",
07:55-08:14,Crew speaking,Crew speaking,
08:15-08:52,"(É) Kšk yźzeyinde asit etkisiyle olu_an gšzenekler de..di_ hassasiyetine yol aŤarlar. Di_ hassasiyetini gidermenin yšntemi bu (É) deliklerin, gšzeneklerin tőkanmasőyla mźmkźndźr. Ee  Sensodyne onarőm ve koruma di_ macunu iŤersindeki mineraller ve son formźlźnde ilave olarak geli_tirilmi_ formźlźndeki sodyum florźr katkősőyla daha sert bir tabaka olu_turmaső sa_lanarak, di_ yźzeyindeki bu delikler bir tabakayla šrtźlerek tőkandő_ő takdirde di_ hassasiyeti ortadan kaldőrőlabilmektedir. Ve bu źrźn sźrekli kullanőldő_ő takdirde (É) sorunu gidermede Ťok etkilidir.","(É) The pores formed in the root surface because of the acid creates de..tooth sensitivity.  The method to eliminate the tooth sensitivity is possible with plugging these (É) holes, pores.  Ee, the minerals in the Sensodyne onarőm ve koruma toothpaste and the sodium fluoride added into its last improved formula create a much harder layer, if these holes located on the tooth surface are plugged with this layer, the tooth sensitivity can be eliminated.  And, this product, if it is used regularly, (É) is very effective in eliminating the problem.",
08:53-09:14,"Anladőm. _ey bu arada hani giderilebilmektedir yine yumu_ak ama aslőnda daha gźŤlź onarmasőna yardőmcő olur gibi bšyle birazcők daha..‚źnkź hem bizim legalimiz hem LondraŐnőn avukatlarőndan geŤmesi gerekiyor bu filmin. Onun iŤin hani birazcők daha..Bu arada _ey sodyum florźr eklenmi_ olmaső (É) sizin iŤin šnemli mi, yani bir di_ hekimi olarak?","I got it.  Well, in the meantime, you know, it can be eliminated, again, soft, but, in fact, it helps to repair, a little bit more like this.. Because this film has to be approved both by our legal department and the lawyers in London.  ThatŐs why, you know, a little bit more..In the meantime, well, sodium fluoride being added (É) is it important for you, I mean as a dentist?",
09:13-10:10,"Tabi tabi. …nemli, _šyle sodyum florźr..flor Ťok reaktif bir mineraldir ve (É) di_ macunu iŤersindeki gšrevi (É) di_ yźzeyinde bir asit etkisiyle olu_an erimeden dolayő bir aŤőklők mo..molekźl bšyle aŤők..aŤő_a Ťőkan bir molekźl bšlgesi varsa flor molekźlź mő..mőknatőslanma benzeri bir etkiyle gidip oraya yapő_őr. (É) Nefes aldő_őmőz zaman memelilerde karbondioksit gaző florź iyonize eder. _yonize olan flor (É) di_ yźzeyinde erime gšsteren alanlara mőknatőslanma etkisiyle gidip yapő_arak o bšlgeyi tamamen bloke eder. Dolayősőyla (É) Sensodyne onarőm koruma iŤersindeki novamin mineralinin flor katkősőyla birlikte (É) di_ źzerindeki deli_e ba_lanmaső flor sayesinde Ťok daha kuvvetli olmakta. Ve daha sert (É) daha kalőcő bir tabaka elde etmekteyiz.","Of course, of course.  It is important, so, sodium fluoride, fluoride is a very reactive mineral and (É) its duty in the toothpaste (É) is, if there is an exposed area, a molecular area exposed due to a wear come into existence with acidic effect on the tooth surface, fluoride molecule sticks to that area with a magnetic effect.  (É) When we inhale, carbon dioxide gas ionize the fluoride.  The ionized fluoride (É) completely blocks the worn away areas on the tooth surface with a magnetic effect.  Therefore, (É) with the contribution of the novamin mineral existing in the Sensodyne onarőm koruma (É) sticking onto the hole located on the tooth surface is more strong because of the fluoride.  And, we obtain a much harder (É) more permanent layer.",
10:11-10:21,"Hőő. O zaman _šyle diyebiliriz de_il mi, Sensodyne onarőm ve korumanőn geli_tirilmi_ formźlź aslőnda di_..di_teki gšzeneklerde daha kalőn, daha sert bir tabaka olu_turuyor.","Hőmm.  Then, we can say something like this, canŐt we, the improved Sensodyne onarőm ve koruma formula actually creates a more thick, much harder layer on the pores in the too..tooth.",
10:22-10:34,"Sensodyne (É) onarőm ve korumanőn geli_tirilmi_ florźr formźlź (É) di_ źzerindeki gšzenekleri tőka..tőkayan, yalőtan,  daha sert ve daha kalőn bir tabaka olu_masőna yol aŤmakta.",The improved Sensodyne (É) onarőm ve koruma formula with fluoride (É) creates a much harder and more thick layer that pl..plugs and insulates the pores located on the tooth.,
10:34-10:35,Bu da gźŤlź bir onarőm demek.,Which means more strong repair.,
10:35-10:36,Daha gźŤlź bir onarőm sa_lőyor.,It provides more strong repair.,
10:37-10:41,Hmm. Sźper. (É) Peki _šyle bir _ey sšyliycem..,"Hőmm.  Super.  (É) Well, IŐll say something like this..",
10:41-10:53,_unu sšyleyebilirim. Sensodyne (É) onarőm ve koruma di_ macunu iŤeri_indeki flor sayesinde novavin mineralinin di_ źzerinde daha sert ve daha kalőcő bir tabaka olu_turmasőna yol aŤmaktadőr.,"I can say this.  Due to the fluoride it contains, Sensodyne (É) onarőm ve koruma toothpaste causes the novamin mineral to create a much harder and more permanent layer on the tooth.",
10:54-11:10,"Tamam, _šyle, iŤeri_indeki florźr sayesindeyi kullanmazsak..neden sšyliycem. ‚źnkź florźr ilgili o kadar Ťok (É) negatif _ey duyuyoruz ki. __te zarar veriyor, zehirliyor, yok i_te _ebek suyuna katőyorlar falan filan diye. Onsuz bu cźmleyi alsak do_ru olur mu, tőbbi aŤődan?","Okay, so, if we did not use Ňdue to the fluoride it containsÓ..IŐll tell you why.  Because, we hear so many (É) negative things about the fluoride so that.. Well, it harms, poisons, well, it is being added to the tap water, so on so forth.  If we get the sentence without it, would it be correct medically?",
11:10-11:33,"Olur tabi. Ne diyebiliriz? (É) Geli_tirilmi_ formulźyle Sensodyne onar.. ve koruma.. (É) Geli_tirilmi_ formźlźyle Sensodyne (É) onarőm ve koruma di_ macunu di_ źzerindeki olu_an gšzenekleri tőkayarak daha kalőn, daha sert bir katman olu_turmakta. Bu da di_ hassasiyetini uzun vadede daha (É) kolay bir _ekilde yok etmemize yol aŤmaktadőr.","Alright, of course.  What can we say?  (É) Sensodyne onar.. ve koruma with its improved formula.. (É) Sensodyne onarőm ve koruma toothpaste with its improved formula creates a more thick and much harder layer on the tooth by plugging the pores located on the tooth.  This, in turn, help us to eliminate the tooth sensitivity in the long run much easily.",
11:33-11:34,Yani aslőnda gźŤlź bir onarőm sa_lőyor.,"You mean, it actually provides a strong repair.",
11:35-11:36,GźŤlź bir onarőm sa_lamaktadőr.,It provides a strong repair.,
11:37-11:50,"Hmm (É) okey. (É) Peki bir _ey sšyliycem _imdi bu gźŤlź onarőm (É) uzun sźreli hassasiyet olu_masőnő engellemek demek aslőnda ama (É) hastanőn hayatőnda, yani bir di_in gźŤlź onarőlmaső ne demek?","Hőmm (É) okay.  (É) Well, IŐll say something now, this strong repair (É) actually means preventing a permanent sensitivity, but (É) what does repairing a tooth strongly mean in a patientŐs life?",
11:51-12:19,(É) Bir di_in gźŤlź onarőlmaső iŤin (É) di_ źzerindeki gšzeneklerin Ťok iyi bir _ekilde tőkanmaső ve bu yalőtőmőn kalőcő olarak devamlőlő_őnő sa_lamak lazőm. Ama biz (É) yemek yemeye devam etti_imiz iŤin dő_ardan aldő_őmőz asitler de sźrekli olarak a_őz ortamőna giri_ yapőyor. Bu nedenle (É) koruma ve onarőmő sa_layan (É) etken maddelerin sźrekli olarak kullanőlmaső gerekmektedir.,"In order for a tooth to be repaired strongly (É) the pores located on the tooth surface have to be plugged efficiently and it is necessary to ensure the permanent continuity of this insulation.  But, because we (É) continue to eat, the acids we take in externally, continuously enter into the mouth environment.  ThatŐs why, (É) the active substances providing protection and repair have to be used regularly.",
12:20-12:27,Anladőm. Onun iŤin aslő... (É) Sensodyne ve (É) Sensodyne onarőm ve korumanőn sźrekli kullanőlőyor olmaső lazőm Ťźnkź..,"I got it..  ThatŐs why actuÉ (É) Sensodyne and (É) Sensodyne onarőm ve koruma has to be used regularly, because..",
12:26-13:01,"Evet bu Ťo..Ťok interaktif bir sźreŤ. Biz Sensodyne on..ona.onarőm ve koruma macununu..GźŤlendirilmi_ formźlźyle Sensodyne onarőm ve koruma macununu kullandő_őmőzda di_lerin źzerinde hassasiyete yol aŤan gšzenekleri tőkayarak (É) kalőcő bir (É) tabaka olu_turmaktayőz. Ancak (É) ya_amőmőz devam ediyor ve aldő_őmőz gődalarla tekrar o tabakayő inceltiyoruz, asit etkisine maruz bőrakőyoruz. Bu nedenle (É) onarőm ve korumanőn sźreklili_ini sa_layabilmek iŤin bu di_ macunu gźnde en az iki defa, sabah ve ak_am iki_er dakikadan kullanmamőz gerekmekte.","Yes, this is a ve..very interactive process.  We, Sensodyne on..ona.onarőm ve koruma toothpaste.. When we used the Sensodyne onarőm ve koruma toothpaste with its improved formula, we obtain a (É) permanent (É) layer by plugging the pores causing the sensitivity.  However, (É) our lives go on and we diminish that layer again with the food we take in and expose it to the acidic effects.  Therefore, (É) in order to ensure that the repair and protection to be continuous, we need to use this toothpaste at least twice a day, once in the morning and once in the evening, for two minutes.",
13:02-13:08,"O zaman aslőnda kalőcő bir tabaka de_il de kalőn bir tabaka, Ťźnkź kalőcő bir tabaka olu_turamőyoruz. Kalőn bir tabak ve o inceliyor mu?","Then, actually, it is not a permanent layer, rather a thick layer, because we cannot obtain a permanent layer.  A thick layer and, does this layer become thinner?",
13:06-13:23,"Evet ka..kalőn bir tabaka olu_turuyoruz ancak bu kalőn tabaka tekrar asitlere maruz kaldő_ő iŤin tekrar incelmeye ba_lőyor. Dolayősőyla onu takviye etmemiz, sźrekli olarak o bšlgeye bu  (É) elde etti_imiz koruma tabakasőnő gźŤlendirici bir ilave yapmamőz gerekiyor.","Yes, we are creating a th..thick layer, but, since this thick layer is again exposed to the acids, it starts to become thinner.  Therefore, we need to replenish that, continuously to that area (É) we need to replenish the protective layer we have already obtained.",
13:24-13:31,(É) Peki eski SensodyneŐle..yani eski derken Sensodyne onarőm ve korumayla bu (É) geli_tirilmi_ formźlź kar_őla_tőrőr mősőnőz?,"(É) Well, would you compare the previous Sensodyne.. what I mean by previous is that Sensodyne onarőm ve koruma and this (É) improved formula?",
13:32-13:35,(É) Sensodyne oruma (É) Sensodyne (É) koruma ve onarőm..,(É) Sensodyne oruma (É) Sensodyne (É) koruma ve onarőm..,
13:35-13:36,Onarőm ve koruma.,Onarőm ve koruma.,
13:36-14:12,"Sensodyne onarőm ve korumanőn (É) formźlźne yapőlan ilave ile eskiye oranla daha sert, daha kalőn bir tabaka (É) elde ediyoruz. Bu da gšzenekleri (É) daha kalőn bir katmanla šrtmemiz anlamőna geliyor. Bu da (É) o elde etti_imiz hassasiyeti šnleyen tabakanőn daha uzun sźre, daha uzun saatler a_őzda (É) etkisini gšstermesi anlamőna geliyor. Ama biz asitli gődalarő tźketmeye devam etti_imiz sźrece bu tabakada tekrar bir azalma olacak. Dolayősőyla bizim bu koruma ve onarőm macununu tekrar o bšlgelere uygulamamőz gerekecek.","With the help of the addition made to the Sensdyne onarőm ve korumaŐs (É) formula, we obtain (É) a much harder and more thick layer compared to the past.  This means that we cover the pores (É) with a more thick layer.  This also means that, (É) the layer that we have obtained which prevents the sensitivity has a permanent effect (É) in the mouth, for longer hours.  But, as long as we continue consuming acidic food, this layer will become diminish again.  Therefore, we have to re-apply these protective and reparative toothpaste onto those areas ",
14:13-14:35,"Hmm o zaman o gźŤlź onarőm kavramőnő sšylebiliyor olmamőz iŤin bunu aslőnda..sšylźyo.._ey yapőyor olmamőz lazőm, uzun saatleri legal olarak sšyleyebilece_imizden Ťok emin de_ilim. Peki _šyle bir _ey rica etsem. Bana bir tane baya hassasla_mő_ (É) di_, (É) eski SensodyneŐi kullandő_őmőz di_, bir de geli_tirilmi_ formźlź olan di_i tarifler misiniz? Yani bunlarőn arasőndaki fark nedir? …yle bir _ey sorsam.","Hőmm, then, in order for us to talk about the repair concept, we have to actually sa.. say this, I am not very sure if we can legally talk about the long hours.  Well, what if I asked you something like this.  Would you describe me as severely sensitized (É) tooth, (É) the one we used the previous Sensodyne for and the tooth with the improved formula?  I mean, what is the difference between these?  If ask you something like this.",
14:36-14:46,(É) Hassas hale gelen bir di_in mikroskopik olarak inceledi_imiz zaman yźzeyinde gšzenekler gšrźrźz. Sensodyne koruma ve onarőm.,"(É) When we examine a sensitized tooth under a microscope, we see pores on its surface.  Sensodyne koruma ve onarőm.",
14:46-14:47,Onarőm ve koruma.,Onarőm ve koruma.,
14:47-15:06,Sensodyne onarőm ve koruma di_ macunu kullanőldő_őnda bu gšzeneklerin minareller ile tőkanarak tamamen šrtźldź_źnź gšrźrźz. Formźlź geli_tirilmi_ olan Sensodyne onarőm ve koruma di_ macununda bu tabakanőn daha kalőn bir katman halinde yerine yerle_ti_i ve daha gźŤlź bir onarőm sa_ladő_őnő gšrmekteyiz.,"When Sensodyne onarőm ve koruma toothpaste is used, we see that these pores are completely plugged and covered with these minerals.  We see that, with the improved Sensodyne onarőm ve koruma toothpaste formula, this layer is placed on the tooth as a more thick layer and provides more strong repair.",
15:07-15:08,"Peki bu yźzden mi šneriyorsunuz, nasől..","Well, do you recommend it for this reason, how..",
15:08-15:24,Crew speaking,Crew speaking,
15:25-15:33,"(É) Peki o zaman (É) Sensodyne..Geli_tirilmi_ formźlź olan yeni Se..yeni demiycez..Sensodyne onarőm ve korumayő šneriyorsunuz, neden?","(É) Alright, then, (É) Sensodyne..the new Sen.. we wonŐt say ŇnewÓ.. you recommend Sensodyne onarőm ve koruma with the improved formula, why?",
